Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
1,0,0,0,1,1,7100,13942,59,1,0,0
2,0,0,0,0,0,0,7391,59,1,0,0
1,2,22,0,0,0,10,2691,59,1,0,0
0,5,53,0,0,0,250,1842,59,1,1,1
1,9,147,0,0,0,400,1108,59,1,1,1
3,0,0,0,1,1,650,29028,60,1,1,1
2,0,0,0,0,0,150,28470,60,1,1,1
1,0,0,0,0,0,0,5637,60,1,1,1
2,0,0,0,0,0,0,40569,60,1,1,1
0,14,2038,0,0,0,0,0,60,1,1,1
1,0,0,0,0,0,180,3866,60,1,0,0
1,4,181,0,1,1,100,1392,60,1,1,1
2,0,0,0,1,0,6550,36389,60,1,0,0
0,0,0,0,1,0,7900,37230,60,1,0,0
0,3,30,0,1,1,10110,8504,60,2,1,1
4,0,0,0,4,3,57000,51789,60,1,1,1
2,2,22,0,0,0,22330,13165,60,1,1,1
2,1,8,0,0,0,21100,12734,60,1,1,1
1,2,59,0,3,3,87200,10819,60,1,2,1
1,0,0,0,0,0,2700,33147,60,2,0,0
2,0,0,0,0,0,1600,22293,60,2,1,1
2,4,45,0,3,1,4090,23452,60,2,1,1
2,0,0,0,0,0,14460,5123,60,1,1,1
